annual_income,spending_score,website_visits,app_sessions,avg_order_value,orders_per_month,return_rate,loyalty_years,region,membership,cluster
2377900,60,17,25,7167.19,11,0.13,4.6,North,Silver,2
1328435,77,15,19,12314.62,6,0.16,6.5,North,Silver,2
1572299,82,18,23,3477.19,6,0.2,3.8,South,Platinum,0
1105309,56,15,20,4885.06,6,0.23,4.4,South,Gold,1
272884,9,10,15,6754.48,9,0.19,0.3,East,Silver,1
921471,69,12,22,4295.83,6,0.02,9.4,North,Platinum,0
895299,62,16,18,7081.42,10,0.14,11.6,South,Gold,1
454557,64,10,19,441.07,8,0.02,9.2,West,Gold,3
2413658,22,15,14,3419.16,3,0.05,6.2,West,Gold,3
1860807,32,11,19,12538.53,7,0.04,9.9,West,Gold,3
1701776,47,13,17,6378.18,0,0.06,10.3,West,Silver,3
892669,2,12,21,9655.16,2,0.33,6.5,North,Silver,2
1989716,85,15,24,3714.63,3,0.25,11.2,North,Platinum,0
1168170,92,11,21,9853.22,6,0.2,0.4,East,Silver,1
594283,52,13,18,14999.62,5,0.29,0.1,North,Silver,2
272445,88,9,15,9050.73,6,0.38,1.0,South,Gold,1
383863,88,9,17,9536.87,3,0.17,0.7,East,Silver,1
1405773,14,9,16,1939.34,6,0.15,5.1,North,Gold,2
2088717,37,11,28,6229.71,4,0.39,11.3,North,Silver,2
503204,27,7,21,12952.66,5,0.31,8.1,South,Silver,1
1939520,24,18,18,12563.8,7,0.31,7.9,South,Platinum,0
1935538,64,9,17,7979.27,8,0.24,4.6,South,Gold,1
2149033,70,12,15,13580.78,5,0.2,6.4,West,Silver,3
1756887,26,5,20,2401.17,4,0.22,3.7,North,Silver,2
1791763,54,17,23,9975.38,8,0.26,6.2,North,Gold,2
400660,15,10,23,3958.59,7,0.15,9.0,North,Platinum,0
2215490,29,23,16,9789.75,2,0.31,6.7,East,Gold,1
1915949,100,12,13,1584.78,3,0.36,5.0,East,Gold,1
2284451,74,16,19,14171.05,7,0.23,10.1,East,Silver,1
1613744,28,8,15,11859.08,4,0.15,3.4,East,Gold,1
2202574,59,14,22,3254.14,6,0.28,5.8,East,Silver,1
724966,73,6,19,9667.97,8,0.07,11.7,South,Gold,1
1765955,21,10,24,11459.44,4,0.39,11.6,East,Silver,1
885712,10,5,26,3378.85,2,0.26,0.1,North,Gold,2
1032229,4,12,19,1671.96,8,0.03,6.4,West,Silver,3
863819,62,15,28,5471.16,9,0.21,4.0,North,Silver,2
1549614,4,14,15,2295.59,2,0.3,3.5,North,Silver,2
1608922,6,17,21,8615.96,2,0.11,7.2,South,Silver,1
1589483,90,11,22,6534.49,6,0.02,5.4,West,Silver,3
270442,80,11,17,7097.64,3,0.2,8.8,North,Platinum,0
207898,72,13,19,8280.09,8,0.33,0.3,South,Gold,1
2199964,92,13,20,14736.17,4,0.1,11.1,West,Gold,3
582762,16,18,23,11951.74,4,0.29,6.8,West,Gold,3
1618114,38,10,23,9553.23,8,0.16,8.2,South,Silver,1
966876,49,6,19,5646.47,5,0.02,7.3,East,Platinum,0
1790306,61,13,14,697.92,2,0.12,11.9,South,Platinum,0
1762057,65,12,27,2012.96,6,0.13,11.8,South,Silver,1
1762070,83,11,23,11043.75,3,0.36,7.3,East,Platinum,0
2426086,50,11,18,5727.3,10,0.39,8.2,South,Silver,1
1682712,17,8,12,5216.23,6,0.08,7.4,South,Silver,1
1370327,28,21,28,13367.98,5,0.17,3.7,South,Silver,1
700499,44,14,17,7422.28,6,0.39,2.3,North,Platinum,0
2031273,12,9,18,13523.78,3,0.16,4.8,South,Gold,1
1289739,70,8,23,13333.59,10,0.14,8.2,South,Gold,1
2193873,71,7,22,1478.66,2,0.04,0.7,West,Silver,3
1775355,72,11,15,14196.84,2,0.3,6.2,West,Silver,3
1073174,3,13,22,1431.24,4,0.18,4.9,West,Platinum,0
1307958,49,11,14,14463.54,6,0.26,6.3,South,Silver,1
2114472,21,10,18,6953.44,4,0.2,10.3,East,Silver,1
2374248,8,9,24,11484.65,2,0.07,0.6,South,Silver,1
1255587,64,17,24,10680.32,7,0.07,9.2,North,Silver,2
2210598,92,13,26,7921.88,5,0.38,8.0,North,Gold,2
1908798,59,18,20,9405.99,9,0.36,2.4,North,Gold,2
2073126,30,11,17,14263.8,5,0.24,8.8,North,Silver,2
455178,32,13,17,13932.07,8,0.0,6.0,South,Silver,1
1050281,75,12,20,9918.59,9,0.17,5.8,West,Silver,3
1195722,20,8,16,9968.46,7,0.21,5.8,South,Silver,1
2473527,16,9,14,3930.0,3,0.18,11.4,South,Gold,1
2420945,25,12,20,12480.77,5,0.37,11.3,South,Silver,1
1618635,60,12,23,9599.27,5,0.02,11.0,South,Silver,1
215096,45,19,18,12445.86,4,0.26,10.6,East,Silver,1
528035,9,15,18,9970.43,4,0.13,0.5,West,Silver,3
1657492,51,11,20,4700.0,4,0.22,4.8,West,Gold,3
1567582,61,9,25,3085.38,5,0.26,10.7,North,Silver,2
2191276,40,9,22,1431.4,11,0.18,9.1,South,Gold,1
297186,61,12,20,8914.13,4,0.06,5.5,North,Silver,2
508762,67,10,20,4475.55,4,0.21,9.3,West,Gold,3
328081,80,9,25,9568.49,4,0.37,2.5,West,Platinum,0
2120552,76,11,18,1162.25,4,0.21,7.2,North,Silver,2
346451,15,12,24,5822.25,5,0.05,6.4,West,Platinum,0
778886,53,13,24,4130.13,2,0.33,6.9,West,Gold,3
702550,4,18,21,5743.91,6,0.09,8.7,East,Silver,1
2266463,23,13,15,1097.97,12,0.15,11.4,South,Gold,1
1511664,27,7,19,10945.47,6,0.17,3.2,South,Silver,1
1550162,37,16,17,2015.45,6,0.14,9.1,West,Platinum,0
458153,77,15,17,511.72,7,0.16,7.7,West,Silver,3
1423137,43,8,20,14210.45,6,0.32,8.3,East,Gold,1
1949197,37,10,16,3135.28,6,0.09,5.1,North,Platinum,0
2259579,85,14,23,12472.5,4,0.19,11.3,East,Silver,1
663920,29,11,20,14477.72,7,0.01,5.8,East,Silver,1
888014,29,11,15,8151.58,4,0.2,1.5,North,Gold,2
401599,49,14,20,8033.94,6,0.04,8.2,West,Gold,3
1518866,75,15,18,5701.03,4,0.11,1.5,South,Gold,1
1360764,51,20,15,6556.24,4,0.13,3.9,East,Gold,1
1712618,50,11,23,7386.51,7,0.03,2.7,East,Silver,1
1961486,28,9,23,2535.79,2,0.14,6.5,South,Gold,1
1722172,74,14,23,5661.63,2,0.2,4.2,East,Silver,1
1772040,5,8,24,12296.79,10,0.17,1.9,North,Silver,2
1998354,56,13,23,2981.25,6,0.11,9.5,South,Gold,1
568599,64,16,24,11028.84,4,0.12,5.6,South,Silver,1
1241597,89,14,19,9878.32,4,0.25,5.5,North,Silver,2
1606101,97,11,16,1142.28,3,0.29,10.6,North,Silver,2
431948,17,15,15,629.7,2,0.23,6.5,South,Gold,1
